Question,Answer
How light influence sleep? How our circadian rhythms are regulated? What is hypothalamus' role in sleep?,"One of the parts of our brain is called the hypothalamus. It is small, the size of a peanut, but at the same time it has a large area of ​​responsibility - all our desires, including the desire to sleep.

And inside this section there is an even smaller ball - it is called the suprachiasmatic nucleus. Yes, it’s hard to pronounce :) For convenience, we’ll call it a ball. So, the ball also has a very important task - to keep track of time.

Over the years of evolution, the ball has become accustomed to the fact that one daily cycle is approximately 24 hours. It tries very, very hard to count accurately, but it’s difficult for him. It doesn’t have his own watch, like we do - he has to navigate only by light. But in megacities it is light even late in the evening due to artificial lighting. Can you imagine what it's like for it? Poor guy keeps getting lost 😞

But it doesn’t just think so for the sake of interest, it has a responsible task - to give the go-ahead to the body to produce an increased dose of melatonin - this is the most important hormone that helps us fall asleep faster and more soundly. 

To help the ball a little - create darkness around you 1 hour before bedtime. 🌚 Of course, we are not talking about complete darkness - you need to somehow continue to navigate the space. Leave only a couple of light bulbs or a lamp. Also the ball will be very grateful if you set the night mode on your smartphone and laptop, which automatically makes the screen color softer in the evening. This will reduce your exposure to the blue spectrum of light, which has the greatest impact on our circadian rhythms.

On iOS there is a built-in function - Night Shift, and on Android you will need to download one of the applications on Google Play. At first you may not like the color of the screen, but you will get used to it after a couple of days. If your laptop does not support this function, use the f.lux application

To remember this, it is suggested to set up alarms to ring when the bedtime comes.

By the way, here’s something else that is important on this topic ☝️😌 Research shows that it makes sense to completely give up devices and light only 15 minutes before bedtime - that’s exactly how much it takes for melatonin levels to recover to normal.

How to make the suprachiasmatic nucleus completely happy? You can buy glasses with special lenses that block the blue spectrum. There is a study that showed that using such glasses 2 hours before bed significantly improved sleep, even in people with insomnia."
How and why wearing socks help you sleep better? How body temperature and my bedroom temperature affects sleep quality?,"You may be surprised but it is actually a good idea to sleep in socks. First of all, it is supported by research. In one study, people in the experimental group put on socks before bed and slept deeper and fell asleep 7 minutes faster. Even the authoritative scientific journal Nature has a study that shows that warm feet help you fall asleep faster.

Secondly, this is the simplest method that will not take up your waking hours and will not complicate your bedtime ritual.

How exactly do socks help you fall asleep faster and deeper?

When your feet and palms are warm, the blood vessels dilate - this improves thermoregulation and relaxes the smooth muscles in the walls of the blood vessels. This effect is called vasodilation. There are also good scientific articles about how this affects sleep.

In what cases might it not work?

If the temperature in your bedroom is above 23°C 🌡, this in itself can cause discomfort during sleep, and, imagine, you’ll also be putting on socks. Of course it will be hot.

For everything to work out, you need to sleep in a comfortable or slightly cool room - 21-22°C.

Sometimes you can find recommendations to cool the room to a temperature of 18°C 🥶, but this is a myth. In fact it is enough to just try to cool the bedroom a little, but so that the temperature remains comfortable. In studies using clothing and/or bedding, no significant difference was observed in sleep in a range of 13°C to 23°C. However, a higher temperature, indeed, can adversely affect sleep.

How to cool a room if it's too hot right now?

In warmer months, you can use air conditioning or leave a window open. But be careful, make sure you don’t catch a cold 🤒

And if it’s cold outside, you can ventilate it only before going to bed, this will help make the temperature comfortable at least while you fall asleep. Also, some batteries allow you to regulate their power. Perhaps you have these, then you can easily make the room cooler.

And I almost forgot ☝️ Choose socks with a not too tight elastic band so as not to impair blood circulation."
How body temperature affects sleep quality? Should I take a warm shower before going to bed?,"Warm bath and shower

Vasodilation is an effect in which the smooth muscle of blood vessels relaxes. Due to this, our body adjusts to deep restorative sleep.

To achieve this effect, it is enough to first warm up a little, and then lower the temperature to normal.

A pleasant and affordable way is a moderately hot bath or shower. Just ten minutes 1 hour before bed reduces sleep latency by approximately 36%.

A good meta-analysis was conducted, during which a group of scientists did tremendous work. From 5,322 scientific publications, they selected 13 studies with the most homogeneous data. As a result of the analysis, they found that a hot bath or shower before bed significantly improves:

Time to fall asleep
Depth of sleep
Subjective sleep assessment
According to research, a bath has a slightly better effect, but you can start with a shower. Don't go overboard with the temperature. The water should be hot, but comfortable. If you take a shower in the morning, then try to transfer this habit to the evening. It's worth it.

In addition to improving sleep, moderately hot baths and showers have other proven benefits:

Reduces blood pressure and the risk of cardiovascular diseases
Reduces anxiety, restlessness and fatigue
Lowers blood sugar levels
Possible contraindications:
Unstable angina
Recent myocardial infarction
Severe aortic stenosis
Pregnancy

Important ☝️You shouldn't take a bath or hot shower right before bed. This will increase your heart rate and may impair sleep. Preferably 1 hour before or at least 45 minutes ⏱"
How sleep affects life satisfaction? How sleep and happiness are related?,"Sleep not only helps people be more productive and achieve their goals, but it itself also affects happiness levels. Research shows this.

One of them was carried out on 700 Norwegian students. It was possible to establish a strong correlation between sleep and overall life satisfaction. And it turned out that the quality of sleep affects more than its duration! There is also a study that even managed to establish a cause-and-effect relationship between sleep and happiness.

Although I am a robot to improve sleep, my main task is to make people happy, so let's talk about happiness in general.

I scanned Shawn Achor's book, The Happiness Advantage. There's this key idea:

From childhood we are taught: “If you are successful, you will be happy.” But this is a misconception. Happiness is the driver of success, not the other way around.
When people don't realize this, they are constantly chasing. The sad thing is that even achieving these external goals often leads to depression. Or new, more ambitious ones immediately appear, and the race continues.

Mihaly Csikszentmihalyi in his book “Flow” writes very precisely about such a life: ""There are always jam pies tomorrow, but never today.""

Watching people, I came to the conclusion: being happy is a separate form of art. You need to learn to enjoy the little things and enjoy the moment. And the Stoics succeeded well in this - they consciously developed this skill in themselves and gave a special role to perception."
How air quality in my room affects my sleep? Should I open the window during the night?,"CO2 🌬
Do you know why robots are better than people? We don't convert such valuable oxygen into carbon dioxide in such quantities😄😜Okay, don't be offended, let me tell you how it affects your sleep and how you can easily improve the situation.

CO2 concentration indeed affects the quality of sleep. If the CO2 content outside is about 400ppm (0.04%), then in the room you can “breathe” up to 2500ppm (0.2%)

Don't worry, we will save you!

1. The obvious advice is to thoroughly ventilate the bedroom before going to bed. But when it's cold outside, of course, you can't just open the window all night. There is a good life hack for this case - a window lock. It allows you to leave a small gap after ventilation, and thus maintain an acceptable level of CO2 concentration.

You can order it for only $10 max. 

2. Less obvious advice - use indoor plants. Of course, ordinary indoor plants cannot significantly influence CO2 levels. But, as studies show, some of them can do a good job of cleaning the air from toxins, such as carbonyls and other harmful particles, reducing their content by 30%.

Another nice bonus is that indoor plants can reduce stress and anxiety. Both themselves and the process of caring for them. And this also has a positive effect on the quality of sleep.

I have compiled for you a list of the best plants in which photosynthesis paradoxically continues even at night, and at the same time are aesthetically pleasing and relatively easy to care for.

Areca palm
Neem tree
Sansevieria zeylanica, Dracaena trifasciata
Aloe vera
Gerbera orange
Schlumbergera
Ocimum sanctum Rama Tulsi
Sacred fig"
How stress affects sleep?,"Stress
Often, our elevator is broken by hooligans: Cortisol, Adrenaline and Norepinephrine. These are all hormones from the “Stress” gang. They have been seen in many studies.

This gang doesn't always just do mischief. They can make us more energetic during the day and, even in moderate amounts, improve short-term memory.

But in the evening before going to bed, it’s better to stay away from them!

How to deal with them?

When the first alarm clock rings, try to finish your work, avoid strong emotional changes, and not enter into discussions. If possible, reschedule this for the morning. Remember that people tend to exaggerate the urgency of tasks. This cognitive distortion is called Urgency bias.

We’ll catch up on all these things later 🚀there’s still time left! In addition, according to research, people who sleep well are then more successful in resisting the “Stress” gang.

In summary:
Start finishing things that might cause you stress early. At least after the first alarm
Avoid contact in the evening with people who can unsettle you
Try to focus on enjoying your bedtime routime 😌"
What should I know about deep sleep?,"Deep sleep (SWS):

Deep sleep is also commonly called slow wave sleep. Where did this name come from? The fact is that during the transition between phases, the frequency at which the human brain operates also changes. This can be noticed if you connect a sleeping person to an EEG machine.

During deep sleep (Stage 3), long delta waves predominate.

But what is so good about slow-wave sleep? Why are we building a high-speed elevator to get down to it faster?

The fact is that during this phase, our body ceases to control the environment and can finally focus on self-healing. This is very important for many systems of our body:

immunity
hematopoiesis
intestinal microflora
growth hormone secretion
metabolism and insulin regulation
memory consolidation
As usual, everything is confirmed by research.

Without exaggeration, these are hyper-important functions for your health. They help fight very serious diseases and greatly increase your efficiency.

Not a bad result if deep sleep is 30% of the total sleep time.

But this is individual, so it is better to first find out your norm and then look at the dynamics relative to this starting point. By the way, that's where sleep trackers can be extremely helpful."
What helps to get more of deep sleep (SWS sleep)? Does meditation help to sleep better?,"Meditation is truly an effective and proven way to increase your share of valuable SWS sleep. And there are a lot of studies about this too. Some of them showed that you don't have to become an expert at this - even short sessions will help you sleep deeper.

If you've been meaning to try it for a long time, why not start now? 🧘‍♂️🧘‍♀️

In addition to its effect on sleep, meditation has many other proven effects on productivity and more. Wikipedia has a large article devoted not to meditation in general, but specifically to its scientifically proven properties. In particular, it is very effective against the stress hormones, which interfere with sleep and negatively impact its quality.

🔴Lifehack. To make the bedtime routine as effective as possible, and at the same time not take too much time, you can combine some points. Taking a bath and meditation is just a great combo, try it! 👍

I will be as happy as possible if my advice helps you not only through sleep, but also through meditation. And if you already do this regularly, then try moving the session to the evening or breaking it into 2 shorter sessions.

There are many excellent meditation and bedtime services for beginners.

As always, I have prepared a selection of TOP 5 services for you:

Headspace
Insight timer
Calm 
Endel 
Everywhere there is a trial version to try, and some are completely free. Enjoy! 🙌"
"How exercise, sports and physical activity affects sleep?","Health ♥️
What’s more, you already know very well how important physical activity is to stay healthy. I won’t bore you too much on this topic. But I’ll emphasize a couple of non-obvious facts that not everyone knows.

WHO ranked a sedentary lifestyle as the 4th biggest health risk. It loses only to smoking, high blood sugar and high blood pressure.

If you don’t smoke, your sugar is normal and your blood pressure is not abnormal, then physical activity is the best thing you can do for your health.

And I have very cool news for you 😉 You don’t need to spend a lot of time and effort on this. According to many studies and WHO data, you need to exercise only 2.5 hours a week to reduce the likelihood of:

- Diseases of the cardiovascular and pulmonary system (coronary heart disease, stroke and hypertension) by ~ 30%-
- Metabolic diseases (diabetes and obesity) by ~27%
- Oncology (breast cancer and colon cancer) by ~20-25%
- Depression
At the same time, training should not be hard; moderate is enough. For example, light jogging or brisk walking, just 20 minutes a day.

Physical activity improves sleep quality and is even considered a way to treat insomnia. Many meta-analyses and scientific reviews note that moderate physical activity works best, not vigorous exercise.

10-15 minutes of easy running or 20-30 brisk walking will help us make you a much healthier and more productive person.

Scientists also note that the connection between sleep and physical activity also works in the opposite direction - people who sleep well, on average, move significantly more during the waking period.

However, the workout must be completed 2 hours before bedtime ☝️ Physical activity can delay melatonin production and temporarily reduce it by 1.5 times. And melatonin, as you know, is extremely important for our sleep.

The graph below compares melatonin levels between the group of subjects who exercised at 10:30 p.m. and the control group.

Productivity and cognitive functions 🧠
A review of 79 studies on the topic found that physical activity can also improve cognitive performance. More specifically: working memory, attention control and cognitive flexibility. To be honest, the identified effect is not very large, but it’s a nice bonus to everything else 🎁

And in another study of 3,081 people, the physically active group was 35% less likely to feel sleepy during the day. This is exactly what we need!

Happiness 😌
The coolest thing is that physical activity directly affects your life satisfaction and mood.

During training, muscles receive microtrauma, and as a “pain reliever,” the body produces an increased portion of endorphin, serotonin and dopamine.

Unlike the ""Stress"" gang, these guys are our best friends. When they get together, they instantly lighten the mood. You immediately feel happy in their company. They also really enjoy stretching. This is a great way for them to drop in for a visit.

A small note: they are cool, nice guys, but it’s also better not to meet them before going to bed. Otherwise, they will cheer you up and lift your spirits so much that you won’t be able to fall asleep for a long time.

Where to start 🤸‍♂️
I believe you are already actively engaged. If so, then keep up the good work. 💪

All of the above effects are achieved even with light and short workouts. Let me remind you, only 2.5 hours a week ☝️ That's about 20 minutes a day. But it’s important to develop a habit and not skip it."
Can you tell me more about melatonin?,"Our suprachiasmatic nucleus has a friend - the pineal gland. She “works as a cook”, as she needs to prepare various hormones for the body. One of the most important hormones in her recipe list is melatonin. And the required number of servings of melatonin depends on the time of day. That’s how they became friends with the nucleus, because he can tell more accurately than anyone whether it’s day or night 🌝

She prepares the most portions between 00:00 and 08:00.

You know how people usually want to sleep after lunch? Melatonin is just like a very filling lunch. The pineal gland will cook you a whole plate, and after it you will immediately fall asleep 😴

Melatonin is important not only for sleep, but also for the body's immune function. There is a scientific review on this topic, emphasizing the indisputability of this influence.

Also, since 2008, several good studies have been conducted showing the effectiveness of melatonin in the treatment of reflux disease (GERD), from which many suffer in modern society. To be fair, the cells of the gastrointestinal tract produce melatonin themselves, without the participation of the pineal gland. But somehow we have gone far from the topic, let's go back to sleep.

Melatonin tablets
I'm a robot from the future, but not a doctor. I am not legally allowed to give recommendations related to taking medications. Therefore, below I simply share the results of research and my personal opinion

👨‍🔬There are contraindications, consult your doctor.

Some people take melatonin tablets to improve their sleep. The pineal gland tries hard, prepares them good “homemade” melatonin, and they go to eat “somewhere in a cafe.”

Large systematic reviews and meta-analyses from the authoritative scientific organization Cochrane show that taking melatonin is justified mainly only for jetlag. When people travel through multiple time zones, a daily dose of 0.5 to 5 mg of melatonin actually helps them fall asleep faster and then sleep longer and deeper. And the more time zones a person has overcome, the stronger the effect. This is especially noticeable when flying to the East 🌎

But in everyday life, even with sleep disorders, taking melatonin, as meta-analyses show, does not make much sense. In several studies, the group of subjects who took melatonin failed to outperform the group who took a placebo. However, there are those who report a non-significant improvement in sleep in terms of how quickly they fall asleep.

According to one of the scientific hypotheses, this is due to the fact that melatonin does not pass well through the blood-brain barrier 🤷‍♂️ Simply put, melatonin enters the bloodstream, but then poorly passes from there into the nervous system. At the same time, of course, a little sneaks through. And when, because of jetlag, you have little melatonin, then these crumbs that sneak in are significant and help. But in ordinary life, the pineal gland copes on its own in most cases.

Side effects 🥴
Taking melatonin tablets is believed to have fairly few side effects. However, there are studies that have noticed little effect on insulin tolerance. People at increased risk of diabetes need to be careful. And one more time, just in case: consult your doctor.

Conclusion
To summarize, when you travel across many time zones, research shows that it makes sense to eat in cafes and restaurants. And in everyday life, it’s better to have your own homemade melatonin, prepared with love by your pineal gland. 👩‍🍳

Moreover, with the help of simple habits you get her to cook it more."
